Title,Rating,Link
Attack on Titan: THE LAST ATTACK (2024),4.61,https://letterboxd.com/film/attack-on-titan-the-last-attack/
Seven Samurai (1954),4.6,https://letterboxd.com/film/seven-samurai/
Dekalog (1989),4.6,https://letterboxd.com/film/dekalog/
Nirvana: Unplugged In New York (1993),4.6,https://letterboxd.com/film/nirvana-unplugged-in-new-york/
High and Low (1963),4.6,https://letterboxd.com/film/high-and-low/
Berserk (1997),4.6,https://letterboxd.com/film/berserk-1997/
Ping Pong the Animation (2014),4.6,https://letterboxd.com/film/ping-pong-the-animation/
National Theatre Live: Prima Facie (2022),4.59,https://letterboxd.com/film/national-theatre-live-prima-facie/
Chernobyl (2019),4.59,https://letterboxd.com/film/chernobyl/
No Other Land (2024),4.59,https://letterboxd.com/film/no-other-land/
The Godfather Part II (1974),4.59,https://letterboxd.com/film/the-godfather-part-ii/
Attack on Titan The Final Chapters: Special 2 (2023),4.59,https://letterboxd.com/film/attack-on-titan-the-final-chapters-special-2/
The Shawshank Redemption (1994),4.58,https://letterboxd.com/film/the-shawshank-redemption/
Renaissance: A Film by Beyoncé (2023),4.58,https://letterboxd.com/film/renaissance-a-film-by-beyonce/
Attack on Titan The Final Chapters: Special 1 (2023),4.57,https://letterboxd.com/film/attack-on-titan-the-final-chapters-special-1-2023/
When They See Us (2019),4.57,https://letterboxd.com/film/when-they-see-us/
